"ccode","cname","gdppcppp","co2pc"
"EGY","Egypt, Arab Rep.",7296.87375526253,2.23116022279329
"ERI","Eritrea",1373.42126179869,0.18285685518457
"ESP","Spain",27868.9519489624,8.09705804769438
"EST","Estonia",16560.5022328626,12.3859622446532
"ETH","Ethiopia",653.116050603463,0.065960442395694
"FIN","Finland",32065.1707160028,10.4164380522202
"FJI","Fiji",7005.29987582826,1.65988172592539
"FRA","France",30375.5606760951,6.18161046149315
"FSM","Micronesia, Fed. Sts.",2939.53442052188,1.13948473605906
"GAB","Gabon",15169.8074538915,1.57828952000215
"GBR","United Kingdom",34623.2051373665,8.98148147902875
"GEO","Georgia",4199.43034061182,1.16196496537809
"GHA","Ghana",2277.11342968001,0.326934450217055
"GIN","Guinea",1067.17689414582,0.122119266858709
"GMB","Gambia, The",1378.25845377167,0.224010129520694
"GNB","Guinea-Bissau",1123.59673441148,0.145398090217011
"GNQ","Equatorial Guinea",31571.6630428025,7.52891992854701
"GRC","Greece",25154.4744823504,8.895346335088
"GRD","Grenada",10589.9627435884,2.10151431263417
"GTM","Guatemala",5544.96440311054,0.944599482459331
"GUY","Guyana",4222.80223154183,1.93599148815817
"HKG","Hong Kong SAR, China",36437.5866753136,5.95109772206893
"HND","Honduras",3527.93493379774,1.09793913851976
