id,type,grdp,regpop,deaths,drink,hdrink,smoke,aged,divorce,medrate,gcomp,vehipc,accpv,dumppc,deathrate,pctmale,accpc
40,3,6327403.33333333,237821.333333333,1396.66666666667,65.2,19.7333333333333,23.2333333333333,12.2733333333333,2.1,28.75,103.68,0.38,8.80333333333333,1.14,587.633333333333,50.9033541060446,3.34663333333333
41,2,4489124.33333333,152122.666666667,839.666666666667,65.3333333333333,19.7,24.2,12.9733333333333,2.16666666666667,13.1633333333333,97.8533333333333,0.416666666666667,6.38,0.866666666666667,571.666666666667,49.4575040445851,2.65
42,3,4333843.66666667,79817.3333333333,562.666666666667,61.1333333333333,18.6666666666667,22.2333333333333,18.9133333333333,1.96666666666667,47.3533333333333,95,0.766666666666667,15.93,2.27333333333333,723.166666666667,48.7177503801944,12.2104
43,3,5298334.66666667,349685,2169.66666666667,61.3,16.3,21.9333333333333,15.3066666666667,2.03333333333333,11.4366666666667,99.2366666666667,0.43,9.93666666666667,0.986666666666667,628.3,49.8083193975515,4.26656666666667
44,3,3475768.33333333,205435,1374,61.7333333333333,19.4,25.2666666666667,15.5333333333333,2.2,18.3666666666667,102.336666666667,0.393333333333333,13.86,1.39666666666667,668.733333333333,50.57735476136,5.44686666666667
45,3,2169796.33333333,160259,1086.33333333333,59.3666666666667,15.1333333333333,25.5333333333333,18.26,2.3,28.6366666666667,94.9833333333333,0.37,13.0333333333333,1.23333333333333,682.066666666667,48.7135172406464,4.81736666666667
46,3,8971784,442625.666666667,2118,61.5333333333333,17.0333333333333,22.0333333333333,11.11,1.8,14.2333333333333,100.256666666667,0.43,10.15,1.18333333333333,481.066666666667,50.0640537579481,4.3613
47,3,6782695.33333333,451767.333333333,2098.66666666667,60.2666666666667,12.4,18.4333333333333,12.09,1.5,7.74333333333333,95.6833333333333,0.46,8.76,0.976666666666667,465.366666666667,48.8969803310227,4.02466666666667
48,3,10807628,600321.666666667,2597.66666666667,63.2666666666667,16.0666666666667,21.9,10.0433333333333,1.7,13.2033333333333,98.96,0.433333333333333,11.05,1.17666666666667,432.8,49.7386162920764,4.77546666666667
49,2,6543608.33333333,198639,1068,58.3666666666667,16.1333333333333,21.7666666666667,11.2833333333333,2.03333333333333,11.7766666666667,104.303333333333,0.476666666666667,7.17666666666667,1.31,556.433333333333,51.0530456269523,3.40576666666667
50,3,12434718.3333333,113890.333333333,636,59.8,18.7333333333333,25.8,13.4666666666667,2.96666666666667,17.2833333333333,107.556666666667,0.57,6.37666666666667,1.01,572.733333333333,51.8202453064551,3.62356666666667
51,3,2959879.33333333,72521,500,61,18.8666666666667,25,17.1166666666667,2.66666666666667,11.4233333333333,101.873333333333,0.383333333333333,4.56333333333333,0.686666666666667,695.233333333333,50.4639780553225,1.7371
52,3,5551184.66666667,410100.333333333,2314.66666666667,,,,13.4833333333333,2.9,11.5966666666667,101.98,0.443333333333333,6.21333333333333,0.596666666666667,573.6,50.4901319183338,2.7475
53,3,7541072.33333333,319460.666666667,1159.33333333333,63,18.9333333333333,21.2666666666667,8.01333333333333,1.93333333333333,5.51666666666667,99.5933333333333,0.446666666666667,4.39333333333333,0.516666666666667,371.3,49.8980784241961,1.95616666666667
54,3,15370859,525677.666666667,2259.66666666667,63.6,20.5,24.6666666666667,9.73666666666667,2.5,12.28,99.5133333333333,0.476666666666667,6.97666666666667,0.753333333333333,436.566666666667,49.8780242752037,3.31393333333333
55,3,9395872.66666667,554184,2583.33333333333,60.8,16.8333333333333,23.3666666666667,10.6433333333333,2.33333333333333,10.0733333333333,99.2333333333333,0.363333333333333,6.48666666666667,0.64,470.233333333333,49.8075008513256,2.34696666666667
56,3,3785147.66666667,334718,1395.66666666667,62.7333333333333,18.1333333333333,25.4,8.55666666666667,2.53333333333333,12.4266666666667,100.413333333333,0.686666666666667,3.70333333333333,0.583333333333333,417.966666666667,50.1030887030406,2.5207
57,3,16637724.6666667,504675,1910,63.1666666666667,20.3,24.5333333333333,8.04,2.53333333333333,10.8033333333333,102.19,0.406666666666667,6.09,0.713333333333333,383.8,50.5415639232103,2.4741
58,2,1281309.66666667,67598.3333333333,721.333333333333,57.9333333333333,19.8,25.0333333333333,28.4233333333333,2.1,12.7733333333333,100.686666666667,0.463333333333333,6.41,0.623333333333333,1077.4,50.1710240390396,2.9539
59,2,387125.333333333,21005.3333333333,180,57.7666666666667,28.1,25.5,21.1666666666667,2.9,2.76333333333333,130.073333333333,0.5,2.87,0.73,867.833333333333,56.5321031157064,1.44126666666667
60,3,2928728,240010.333333333,1418.66666666667,58.8,18.4,22.6,14.5133333333333,2.36666666666667,12.6766666666667,102.463333333333,0.38,11.1033333333333,1.05666666666667,591.933333333333,50.6083392927881,4.2205
61,3,4321725.66666667,256613.666666667,1490.66666666667,61.1666666666667,19.8333333333333,24.4,14.58,2.13333333333333,23.3233333333333,98.9066666666667,0.39,11.3566666666667,1.03666666666667,582.4,49.7251186812272,4.4299
62,3,8879475,492667.333333333,1931.66666666667,60.7,16.4,21.9,9.53,1.93333333333333,15.5766666666667,97.2,0.4,9.95666666666667,0.913333333333333,393.533333333333,49.2900605041923,3.98733333333333
63,3,10902914.3333333,335331.666666667,1036.66666666667,60.1666666666667,13.8666666666667,17.2333333333333,7.17666666666667,1.53333333333333,11.5566666666667,101.773333333333,0.46,8.74,0.963333333333333,314.9,50.4394286894768,4.03133333333333
64,3,7235630.33333333,197028.333333333,950,61.7333333333333,19.9,22.0333333333333,11.1366666666667,2.46666666666667,14.85,103.366666666667,0.463333333333333,8.34333333333333,1.34333333333333,481.1,50.8277233008129,3.88256666666667
65,3,3661673.33333333,241947.333333333,1086.66666666667,66.1,18.1333333333333,22.7666666666667,10.17,2.2,10.79,104.436666666667,0.42,7.93,1.14333333333333,454.733333333333,51.0850150614043,3.3287
66,3,24108916,344023.666666667,1295,64.0666666666667,17.9666666666667,21.7333333333333,8.12333333333333,2.16666666666667,16.53,104.213333333333,0.45,9.26,1.43666666666667,377.533333333333,51.0315810220885,4.16116666666667
