DATE	OPEN	HIGH	LOW	CLOSE	RETURN	DISCREPANCY	VOL_INST	VOL_IND	VOL_FOR
2012-05-02	13595	13700	13560	13670	1.64	-0.357241521	3974043	-4032311	107918
2012-05-03	13615	13660	13600	13635	-0.26	-0.22808146	-82378	-364150	423931
2012-05-04	13520	13550	13405	13445	-1.39	-0.240402452	-2008184	2118139	-54767
2012-05-07	13085	13130	12925	12955	-3.64	-0.075589288	-7819037	8379153	-708174
2012-05-08	13080	13150	13055	13145	1.47	-0.092117424	1500813	-1838557	418923
2012-05-09	13020	13060	12870	12920	-1.71	-0.060798926	-3352388	3562408	-265126
2012-05-10	12815	12890	12705	12820	-0.77	0.04276399	-3012601	3143001	-176127
2012-05-11	12730	12745	12385	12385	-3.39	0.063423324	-5760404	6009141	-356933
2012-05-14	12370	12460	12255	12415	0.24	-0.068418723	496155	-436434	-105818
2012-05-15	12185	12320	12060	12260	-1.25	-0.007585069	-1265193	2030381	-875961
2012-05-16	12100	12105	11460	11460	-6.53	0.838029136	-6951089	7833706	-952146
2012-05-17	11450	11600	11320	11460	0	-0.144903164	-733963	1207108	-570133
2012-05-18	11020	11050	10605	10660	-6.98	-0.332288038	-8946495	8974810	-235126
2012-05-21	10805	10955	10760	10915	2.39	0.193226516	1798265	-1611393	-171983
2012-05-22	11280	11280	11055	11265	3.21	0.035964994	-63402	-143777	66741
2012-05-23	11115	11120	10820	11000	-2.35	-0.326927677	-1513563	713149	588448
2012-05-24	10970	11085	10835	11070	0.64	-0.162067538	234030	-933546	703637
2012-05-25	11100	11280	11035	11160	0.81	-0.149775337	84685	-643154	578078
2012-05-29	11110	11555	11065	11505	3.09	-0.217950708	3231622	-3027175	-197848
2012-05-30	11455	11470	11195	11390	-1	-0.156471202	-1343304	1184596	130150
2012-05-31	11040	11335	10980	11335	-0.48	-0.219279906	-687572	899852	-233212
2012-06-01	11220	11345	11055	11270	-0.57	-0.33639782	476064	-1227956	819938
2012-06-04	10670	10780	10575	10705	-5.01	-0.164604832	-4238160	4735334	-507880
2012-06-05	10810	11000	10810	10955	2.34	-0.023362865	1486296	-785630	-683337
2012-06-07	11400	11575	11380	11505	5.02	-0.159415171	6353983	-8062212	1893603
2012-06-08	11535	11585	11330	11340	-1.43	-0.356835003	314144	-70659	-262852
2012-06-11	11660	11785	11660	11755	3.66	-0.318252317	3163028	-3176257	411698
2012-06-12	11380	11630	11380	11570	-1.57	-0.291197962	597837	197382	-804564
2012-06-13	11710	11735	11530	11655	0.73	-0.296586644	1185809	-859329	-315072
2012-06-14	11580	11705	11580	11700	0.39	-0.53828341	-193285	-1204627	1299243
2012-06-15	11725	11740	11460	11605	-0.81	-0.296490144	-1096577	1566144	-490389
2012-06-18	11980	12190	11975	12050	3.83	-0.360191705	4351937	-4986909	653850
2012-06-19	11950	12085	11920	12030	-0.17	-0.470181181	-1094527	728351	309655
2012-06-20	12245	12275	12115	12175	1.21	-0.125099977	2172550	-1889033	-155917
2012-06-21	12080	12155	11885	11975	-1.64	-0.164488905	-1936204	1649027	274159
2012-06-22	11650	11670	11290	11305	-5.59	-0.066386682	-12548906	14892179	-3047361
2012-06-25	11300	11300	10860	10990	-2.79	0.03905073	-8872486	8834936	-11045
2012-06-26	10865	11000	10820	10890	-0.91	0.107829646	-2137413	2067188	-10426
2012-06-27	10890	10950	10605	10900	0.09	-0.02467281	-6132613	5945287	-34859
2012-06-28	10995	11015	10735	10910	0.09	-0.196679321	-1400609	877567	642946
